,,,DATA AS OF: August 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School Code ,School Name ,Grade,# of English Language Arts (ELA) Test Takers,ELA -  # Level 1,ELA - # Level 2,ELA - # Level 3,ELA - # Level 4,ELA - # Level 5,ELA # Proficient,ELA - % Level 1,ELA - % Level 2,ELA - % Level 3,ELA - % Level 4,ELA - % Level 5,ELA - % Proficient,# Math Test Takers,Math - # Level 1,Math - # Level 2,Math - # Level 3,Math - # Level 4,Math - # Level 5,Math - # Proficient,Math - % Level 1,Math - % Level 2,Math - % Level 3,Math - % Level 4,Math - % Level 5,Math - % Proficient,MSAA - # of English Language Arts (ELA) Test Takers,MSAA - ELA -  # Level 1,MSAA - ELA - # Level 2,MSAA - ELA - # Level 3,MSAA - ELA - # Level 4,MSAA - ELA # Proficient,MSAA - ELA - % Level 1,MSAA - ELA - % Level 2,MSAA - ELA - % Level 3,MSAA - ELA - % Level 4,MSAA - ELA - % Proficient,MSAA - # of Math Test Takers,MSAA - Math -  # Level 1,MSAA - Math - # Level 2,MSAA - Math - # Level 3,MSAA - Math - # Level 4,MSAA - Math # Proficient,MSAA - Math - % Level 1,MSAA - Math - % Level 2,MSAA - Math - % Level 3,MSAA - Math - % Level 4,MSAA - Math - % Proficient
442,Columbia Heights Education Campus,08,181,52,29,40,47,13,60,28.73%,16.02%,22.10%,25.97%,7.18%,33.15%,174,55,78,24,17,0,17,31.61%,44.83%,13.79%,9.77%,0.00%,9.77%,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
442,Columbia Heights Education Campus,ALL,951,223,187,228,255,58,313,23.45%,19.66%,23.97%,26.81%,6.10%,32.91%,879,236,347,199,94,3,97,26.85%,39.48%,22.64%,10.69%,0.34%,11.04%,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
442,Columbia Heights Education Campus,HS,457,113,92,106,120,26,146,24.73%,20.13%,23.19%,26.26%,5.69%,31.95%,391,131,179,66,15,0,15,33.50%,45.78%,16.88%,3.84%,0.00%,3.84%,.,,,,,,,,,,,.,,,,,,,,,,
450,Anacostia High School,ALL,87,45,22,15,5,0,5,51.72%,25.29%,17.24%,5.75%,0.00%,5.75%,73,30,36,6,1,0,1,41.10%,49.32%,8.22%,1.37%,0.00%,1.37%,.,,,,,,,,,,,.,,,,,,,,,,
450,Anacostia High School,HS,87,45,22,15,5,0,5,51.72%,25.29%,17.24%,5.75%,0.00%,5.75%,73,30,36,6,1,0,1,41.10%,49.32%,8.22%,1.37%,0.00%,1.37%,.,,,,,,,,,,,.,,,,,,,,,,
452,Ballou High School,ALL,257,124,61,36,32,4,36,48.25%,23.74%,14.01%,12.45%,1.56%,14.01%,238,101,117,18,2,0,2,42.44%,49.16%,7.56%,0.84%,0.00%,0.84%,.,,,,,,,,,,,.,,,,,,,,,,
452,Ballou High School,HS,257,124,61,36,32,4,36,48.25%,23.74%,14.01%,12.45%,1.56%,14.01%,238,101,117,18,2,0,2,42.44%,49.16%,7.56%,0.84%,0.00%,0.84%,.,,,,,,,,,,,.,,,,,,,,,,
454,Cardozo Education Campus,06,28,11,12,4,1,0,1,39.29%,42.86%,14.29%,3.57%,0.00%,3.57%,28,17,10,1,0,0,0,60.71%,35.71%,3.57%,0.00%,0.00%,0.00%,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
454,Cardozo Education Campus,07,59,18,14,16,10,1,11,30.51%,23.73%,27.12%,16.95%,1.69%,18.64%,59,21,25,11,1,1,2,35.59%,42.37%,18.64%,1.69%,1.69%,3.39%,.,,,,,,,,,,,.,,,,,,,,,,
454,Cardozo Education Campus,08,44,14,14,11,5,0,5,31.82%,31.82%,25.00%,11.36%,0.00%,11.36%,43,26,13,4,0,0,0,60.47%,30.23%,9.30%,0.00%,0.00%,0.00%,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
